"Date","Price","Open","High","Low","Change %"
"Sep 04, 2019","14,152.5","14,222.5","14,222.5","14,152.5","-0.51%"
"Sep 03, 2019","14,225.0","14,200.0","14,235.0","14,200.0","0.22%"
"Sep 02, 2019","14,194.0","14,185.0","14,202.0","14,184.0","0.06%"
"Aug 30, 2019","14,185.0","14,220.0","14,245.0","14,185.0","-0.37%"
"Aug 29, 2019","14,237.5","14,242.5","14,262.5","14,232.5","-0.12%"
"Aug 28, 2019","14,255.0","14,255.0","14,270.0","14,254.0","0.00%"
"Aug 27, 2019","14,255.0","14,245.0","14,260.0","14,230.0","0.11%"
"Aug 26, 2019","14,240.0","14,235.0","14,280.0","14,235.0","0.19%"
"Aug 23, 2019","14,212.5","14,237.5","14,252.5","14,202.5","-0.16%"
"Aug 22, 2019","14,235.0","14,225.0","14,250.0","14,225.0","-0.04%"
"Aug 21, 2019","14,240.0","14,260.0","14,275.0","14,225.0","-0.14%"
"Aug 20, 2019","14,260.0","14,235.0","14,275.0","14,235.0","0.18%"
"Aug 19, 2019","14,235.0","14,215.0","14,240.0","14,185.0","0.00%"
"Aug 16, 2019","14,235.0","14,260.0","14,270.0","14,225.0","-0.23%"
"Aug 15, 2019","14,267.5","14,267.5","14,312.5","14,257.5","0.16%"
"Aug 14, 2019","14,245.0","14,255.0","14,255.0","14,215.0","-0.51%"
"Aug 13, 2019","14,317.5","14,257.5","14,332.5","14,257.5","0.49%"
"Aug 12, 2019","14,247.5","14,202.5","14,249.5","14,202.5","0.41%"
"Aug 09, 2019","14,190.0","14,205.0","14,210.0","14,175.0","-0.13%"
"Aug 08, 2019","14,208.0","14,213.0","14,243.0","14,193.0","-0.10%"
"Aug 07, 2019","14,222.5","14,257.5","14,297.5","14,207.5","-0.30%"
"Aug 06, 2019","14,265.0","14,305.0","14,355.0","14,255.0","0.07%"
"Aug 05, 2019","14,255.0","14,190.0","14,280.0","14,190.0","0.53%"
"Aug 02, 2019","14,180.0","14,165.0","14,230.0","14,165.0","0.45%"
"Aug 01, 2019","14,116.0","14,061.0","14,128.0","14,061.0","0.71%"
"Jul 31, 2019","14,017.0","14,015.0","14,031.0","14,005.0","-0.02%"
"Jul 30, 2019","14,020.0","14,020.0","14,040.0","14,015.0","0.00%"
"Jul 29, 2019","14,020.0","13,995.0","14,028.0","13,995.0","0.11%"
"Jul 26, 2019","14,004.0","13,995.0","14,015.0","13,995.0","0.19%"
"Jul 25, 2019","13,977.5","13,987.5","13,992.5","13,972.5","-0.11%"
"Jul 24, 2019","13,993.0","13,983.0","14,025.0","13,983.0","0.06%"
"Jul 23, 2019","13,984.0","13,954.0","13,990.0","13,954.0","0.28%"
"Jul 22, 2019","13,945.0","13,945.0","13,970.0","13,940.0","0.07%"
"Jul 19, 2019","13,935.0","13,935.0","13,945.0","13,890.0","-0.18%"
"Jul 18, 2019","13,960.0","13,965.0","13,984.0","13,925.0","-0.14%"
"Jul 17, 2019","13,980.0","13,940.0","13,990.0","13,935.0","0.32%"
"Jul 16, 2019","13,935.0","13,905.0","13,943.0","13,905.0","0.11%"
"Jul 15, 2019","13,919.5","13,999.5","13,999.5","13,889.5","-0.62%"
"Jul 12, 2019","14,007.0","14,073.0","14,098.0","14,003.0","-0.41%"
"Jul 11, 2019","14,065.0","14,100.0","14,105.0","14,050.0","-0.46%"
"Jul 10, 2019","14,130.0","14,135.0","14,155.0","14,130.0","0.00%"
"Jul 09, 2019","14,130.0","14,105.0","14,135.0","14,105.0","0.14%"
"Jul 08, 2019","14,110.0","14,115.0","14,155.0","14,095.0","0.20%"
"Jul 05, 2019","14,082.5","14,137.5","14,147.5","14,077.5","-0.41%"
"Jul 04, 2019","14,140.0","14,105.0","14,145.0","14,100.0","0.16%"
"Jul 03, 2019","14,117.5","14,142.5","14,167.5","14,117.5","-0.14%"
"Jul 02, 2019","14,137.5","14,117.5","14,147.5","14,117.5","0.18%"
"Jul 01, 2019","14,112.5","14,082.5","14,117.5","14,082.5","-0.11%"
"Jun 28, 2019","14,127.5","14,132.5","14,147.5","14,097.5","-0.09%"
"Jun 27, 2019","14,140.0","14,175.0","14,185.0","14,140.0","-0.25%"
"Jun 26, 2019","14,175.0","14,135.0","14,185.0","14,135.0","0.35%"
"Jun 25, 2019","14,125.0","14,140.0","14,145.0","14,095.0","-0.11%"
"Jun 24, 2019","14,140.0","14,135.0","14,175.0","14,135.0","-0.11%"
"Jun 21, 2019","14,155.0","14,125.0","14,170.0","14,080.0","-0.19%"
"Jun 20, 2019","14,182.5","14,242.5","14,252.5","14,172.5","-0.61%"
"Jun 19, 2019","14,269.5","14,264.5","14,279.5","14,259.5","-0.37%"
"Jun 18, 2019","14,322.5","14,332.5","14,342.5","14,317.5","-0.09%"
"Jun 17, 2019","14,335.0","14,330.0","14,355.0","14,330.0","0.07%"
"Jun 14, 2019","14,325.0","14,275.0","14,330.0","14,275.0","0.32%"
"Jun 13, 2019","14,280.0","14,235.0","14,280.0","14,235.0","0.32%"
"Jun 12, 2019","14,235.0","14,225.0","14,265.0","14,220.0","-0.02%"
"Jun 11, 2019","14,237.5","14,242.5","14,260.5","14,232.5","-0.09%"
"Jun 10, 2019","14,250.0","14,205.0","14,260.0","14,205.0","-0.18%"
"Jun 07, 2019","14,275.0","14,275.0","14,275.0","14,275.0","0.00%"
"Jun 06, 2019","14,275.0","14,275.0","14,275.0","14,275.0","0.00%"
"Jun 05, 2019","14,275.0","14,275.0","14,275.0","14,275.0","0.00%"
"Jun 04, 2019","14,275.0","14,275.0","14,275.0","14,275.0","0.00%"
"Jun 03, 2019","14,275.0","14,275.0","14,275.0","14,275.0","0.00%"
"May 31, 2019","14,275.0","14,380.0","14,385.0","14,255.0","-0.87%"
"May 30, 2019","14,400.0","14,400.0","14,400.0","14,400.0","0.00%"
"May 29, 2019","14,400.0","14,385.0","14,435.0","14,385.0","0.17%"
"May 28, 2019","14,375.0","14,365.0","14,390.0","14,365.0","-0.03%"
"May 27, 2019","14,380.0","14,355.0","14,390.0","14,345.0","-0.09%"
